datetime,open,high,low,close,volume
2025-06-06 14:15:00,204.295,204.42999,203.33,203.66,1498847
2025-06-06 14:30:00,203.53999,203.89,203.34,203.78281,1014244
2025-06-06 14:45:00,203.77,203.92,203.12,203.14999,1355474
2025-06-06 15:00:00,203.14,204.06,203.11,203.92,1926990
2025-06-06 15:15:00,203.94,203.946,202.86011,203.03999,1125492
2025-06-06 15:30:00,203.02,203.28,202.87,203.075,781166
2025-06-06 15:45:00,203.075,203.60001,202.97791,203.045,797805
2025-06-06 16:00:00,203.05,203.1808,202.91,203.14999,764622
2025-06-06 16:15:00,203.14,203.14999,202.61,202.625,861521
2025-06-06 16:30:00,202.6622,202.74001,202.05,202.19,1085444
2025-06-06 16:45:00,202.1899,202.7757,202.09,202.69501,1543999
2025-06-06 17:00:00,202.69,203.25,202.61,203.25,851454
2025-06-06 17:15:00,203.24001,203.78,203.17999,203.59,925915
2025-06-06 17:30:00,203.60001,204.0,203.59,203.985,838493
2025-06-06 17:45:00,203.98,204.14999,203.81,204.05499,710736
2025-06-06 18:00:00,204.06,204.95,204.0401,204.75999,1292735
2025-06-06 18:15:00,204.75999,205.21001,204.755,204.985,1410373
2025-06-06 18:30:00,204.99001,205.47,204.99001,205.17,1140172
2025-06-06 18:45:00,205.1601,205.42999,205.09,205.265,861506
2025-06-06 19:00:00,205.19901,205.3,204.92999,204.955,1237133
2025-06-06 19:15:00,204.97,204.9899,204.685,204.7,1015048
2025-06-06 19:30:00,204.69,205.065,204.64999,204.98,1278055
2025-06-06 19:45:00,204.97501,205.22,203.895,203.92999,4676059
2025-06-09 13:30:00,204.39999,205.55,203.98,204.84,4851305
2025-06-09 13:45:00,204.845,205.32001,204.41,204.83,1845066
2025-06-09 14:00:00,204.85001,206.0,204.67,205.785,2152267
2025-06-09 14:15:00,205.78999,205.85001,205.13,205.32001,1355964
2025-06-09 14:30:00,205.3,205.74001,205.17,205.38,1478720
2025-06-09 14:45:00,205.395,205.39999,204.53,204.72,1329937
2025-06-09 15:00:00,204.72,204.94,204.645,204.71001,1087692
2025-06-09 15:15:00,204.7,204.8985,204.50999,204.53,750183
2025-06-09 15:30:00,204.53011,204.64999,204.2612,204.425,909362
